0.000000 0.000000
2.000000 1.000000
4.000000 -0.500000
6.000000 0.500000
8.000000 -0.300000
10.000000 0.000000

0.000000 0.000000 0.951105 0.000000 -0.676657
0.050000 0.047541 0.950259 -0.033833 -0.676657
0.100000 0.094998 0.947722 -0.067666 -0.676657
0.150000 0.142285 0.943493 -0.101499 -0.676657
0.200000 0.189319 0.937572 -0.135331 -0.676657
0.250000 0.236014 0.929959 -0.169164 -0.676657
0.300000 0.282287 0.920655 -0.202997 -0.676657
0.350000 0.328051 0.909660 -0.236830 -0.676657
0.400000 0.373224 0.896972 -0.270663 -0.676657
0.450000 0.417721 0.882593 -0.304496 -0.676657
0.500000 0.461455 0.866523 -0.338329 -0.676657
0.550000 0.504345 0.848761 -0.372162 -0.676657
0.600000 0.546303 0.829307 -0.405994 -0.676657
0.650000 0.587247 0.808161 -0.439827 -0.676657
0.700000 0.627091 0.785324 -0.473660 -0.676657
0.750000 0.665751 0.760795 -0.507493 -0.676657
0.800000 0.703143 0.734575 -0.541326 -0.676657
0.850000 0.739181 0.706662 -0.575159 -0.676657
0.900000 0.773781 0.677059 -0.608992 -0.676657
0.950000 0.806858 0.645763 -0.642825 -0.676657
1.000000 0.838329 0.612776 -0.676657 -0.676657
1.050000 0.868108 0.578098 -0.710490 -0.676657
1.100000 0.896110 0.541727 -0.744323 -0.676657
1.150000 0.922252 0.503665 -0.778156 -0.676657
1.200000 0.946449 0.463912 -0.811989 -0.676657
1.250000 0.968615 0.422466 -0.845822 -0.676657
1.300000 0.988667 0.379329 -0.879655 -0.676657
1.350000 1.006520 0.334501 -0.913488 -0.676657
1.400000 1.022089 0.287981 -0.947320 -0.676657
1.450000 1.035290 0.239769 -0.981153 -0.676657
1.500000 1.046038 0.189865 -1.014986 -0.676657
1.550000 1.054248 0.138270 -1.048819 -0.676657
1.600000 1.059836 0.084983 -1.082652 -0.676657
1.650000 1.062718 0.030005 -1.116485 -0.676657
1.700000 1.062809 -0.026665 -1.150318 -0.676657
1.750000 1.060024 -0.085027 -1.184151 -0.676657
1.800000 1.054278 -0.145080 -1.217983 -0.676657
1.850000 1.045487 -0.206825 -1.251816 -0.676657
1.900000 1.033567 -0.270262 -1.285649 -0.676657
1.950000 1.018433 -0.335390 -1.319482 -0.676657
2.000000 1.000000 -0.402210 -1.353315 -0.676657
2.050000 0.978229 -0.467990 -1.277901 1.508287
2.100000 0.953264 -0.530000 -1.202486 1.508287
2.150000 0.925292 -0.588239 -1.127072 1.508287
2.200000 0.894503 -0.642707 -1.051657 1.508287
2.250000 0.861084 -0.693405 -0.976243 1.508287
2.300000 0.825225 -0.740331 -0.900829 1.508287
2.350000 0.787114 -0.783488 -0.825414 1.508287
2.400000 0.746939 -0.822873 -0.750000 1.508287
2.450000 0.704890 -0.858488 -0.674586 1.508287
2.500000 0.661153 -0.890331 -0.599171 1.508287
2.550000 0.615919 -0.918405 -0.523757 1.508287
2.600000 0.569376 -0.942707 -0.448343 1.508287
2.650000 0.521711 -0.963239 -0.372928 1.508287
2.700000 0.473115 -0.980000 -0.297514 1.508287
2.750000 0.423774 -0.992990 -0.222099 1.508287
2.800000 0.373878 -1.002210 -0.146685 1.508287
2.850000 0.323616 -1.007659 -0.071271 1.508287
2.900000 0.273175 -1.009337 0.004144 1.508287
2.950000 0.222745 -1.007244 0.079558 1.508287
3.000000 0.172514 -1.001381 0.154972 1.508287
3.050000 0.122670 -0.991747 0.230387 1.508287
3.100000 0.073402 -0.978343 0.305801 1.508287
3.150000 0.024898 -0.961167 0.381215 1.508287
3.200000 -0.022652 -0.940221 0.456630 1.508287
3.250000 -0.069061 -0.915504 0.532044 1.508287
3.300000 -0.114140 -0.887017 0.607459 1.508287
3.350000 -0.157700 -0.854758 0.682873 1.508287
3.400000 -0.199552 -0.818729 0.758287 1.508287
3.450000 -0.239510 -0.778930 0.833702 1.508287
3.500000 -0.277383 -0.735359 0.909116 1.508287
3.550000 -0.312983 -0.688018 0.984530 1.508287
3.600000 -0.346122 -0.636906 1.059945 1.508287
3.650000 -0.376610 -0.582023 1.135359 1.508287
3.700000 -0.404261 -0.523370 1.210773 1.508287
3.750000 -0.428885 -0.460946 1.286188 1.508287
3.800000 -0.450293 -0.394751 1.361602 1.508287
3.850000 -0.468297 -0.324786 1.437017 1.508287
3.900000 -0.482709 -0.251050 1.512431 1.508287
3.950000 -0.493339 -0.173543 1.587845 1.508287
4.000000 -0.500000 -0.092265 1.663260 1.508287
4.050000 -0.502568 -0.011110 1.582935 -1.606492
4.100000 -0.501178 0.066028 1.502610 -1.606492
4.150000 -0.496032 0.139151 1.422286 -1.606492
4.200000 -0.487330 0.208257 1.341961 -1.606492
4.250000 -0.475273 0.273347 1.261637 -1.606492
4.300000 -0.460062 0.334421 1.181312 -1.606492
4.350000 -0.441898 0.391478 1.100988 -1.606492
4.400000 -0.420981 0.444519 1.020663 -1.606492
4.450000 -0.397513 0.493544 0.940338 -1.606492
4.500000 -0.371694 0.538553 0.860014 -1.606492
4.550000 -0.343725 0.579546 0.779689 -1.606492
4.600000 -0.313806 0.616522 0.699365 -1.606492
4.650000 -0.282139 0.649482 0.619040 -1.606492
4.700000 -0.248925 0.678426 0.538715 -1.606492
4.750000 -0.214364 0.703354 0.458391 -1.606492
4.800000 -0.178656 0.724265 0.378066 -1.606492
4.850000 -0.142004 0.741160 0.297742 -1.606492
4.900000 -0.104607 0.754039 0.217417 -1.606492
4.950000 -0.066667 0.762902 0.137093 -1.606492
5.000000 -0.028384 0.767749 0.056768 -1.606492
